"sampleIndex","randomSeed","assetContract","tokenSymbol","canonicalProtocol","canonicalVersion","canonicalPool","allCanonicalEvidence","direction","inputAsset","outputAsset","testAmount","recipient","chainId","provider","rmtFeeBps","feeAsset","providerSlippagePpm","maximumUserSlippagePpm","zeroXQuoteStatus","zeroXRouteStatus","invalidResponseReason","policyViolation","rmtParserDefect","expectedIntegratorFee","readOnlySimulationStatus","indicativeStatus","indicativeExpectedOutput","responseEconomics","integratorFeeDifferenceAtomic","expectedOutput","providerReportedMinimum","protectedOutput","executableBound","allowanceTarget","transactionTarget","transactionValue","calldataHash","settlerTarget","settlerRuntimeHash","targetRuntimeHash","firmStatus","fundedSimulation","caseOutcome","section","originalStatus","originalInputAmount","peepExtra"
"1","5272840","0xCCc331D2F8e102A606e1FfF194E65ea9BEd767c2","LIG","uniswap","2","0x4c8c4110aa2bc9a75eb95e6cd7426fbd73680336","[{""protocol"":""uniswap"",""version"":2,""pool"":""0x4c8c4110aa2bc9a75eb95e6cd7426fbd73680336""}]","BUY","0x0000000000000000000000000000000000000000","0xCCc331D2F8e102A606e1FfF194E65ea9BEd767c2","500000000000000","0x1111111111111111111111111111111111111111","4663","zero-x-swap","25","0x0000000000000000000000000000000000000000","9900","10000","FIRM_RETURNED","ROUTABLE","","NOT_APPLICABLE","NO","1250000000000","NOT_RUN_INSUFFICIENT_BALANCE","indicative","20928430761903298088735","{""sellAsset"":""0xeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeee"",""buyAsset"":""0xccc331d2f8e102a606e1fff194e65ea9bed767c2"",""sellAmount"":""500000000000000"",""buyAmount"":""20928430761903298088735"",""minBuyAmount"":""20721239297360455429008"",""totalNetworkFee"":""89277968184750"",""integratorFee"":{""asset"":""0xeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeee"",""amount"":""1250000000000"",""type"":""volume""},""zeroExFee"":{""asset"":""0xeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeee"",""amount"":""750000000000"",""type"":""volume""},""gasFee"":null,""integratorFees"":[{""asset"":""0xeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeee"",""amount"":""1250000000000"",""type"":""volume""}],""integratorFeesOverflow"":false}","0","20928430761903298088735","20721239297360455429008","20721239297360455429008","true","","0x0000000000001fF3684f28c67538d4D072C22734","500000000000000","0x7e670440d7cfd32343a45d04f9336905de4213a298f5a13fbf8f14e0bfec20ae","0x39b38686A19836Ac10162c490E4558e120CbBE5f","0xb6c0bf3b83bc9ae4f6ed65a4f5f6c188eb3e4258d8d3b3705dff4ac02ed4a966","0x99f5e8edaceacfdd183eb5f1da8a7757b322495b80cf7928db289a1b1a09f799","insufficient_balance","{""status"":""PASS"",""mode"":""ETH_CALL_EPHEMERAL_FUNDING"",""walletAuthority"":false,""blockNumber"":""57746745"",""blockHash"":""0x0b2b0ca7f4770cc7084034aecf7ba30b8b7ec6367d6ab2ac0cadb33f9a8b42bf"",""errorCode"":null,""errorSelector"":null,""calldataHash"":""0x7e670440d7cfd32343a45d04f9336905de4213a298f5a13fbf8f14e0bfec20ae"",""gasLimit"":""326487"",""gasPrice"":""271215000"",""transactionTarget"":""0x0000000000001fF3684f28c67538d4D072C22734"",""transactionValue"":""500000000000000"",""protectedOutput"":""20721239297360455429008"",""exactEnvelopePreserved"":true}","FIRM_VERIFIED","matrix","","",""
"1","5272840","0xCCc331D2F8e102A606e1FfF194E65ea9BEd767c2","LIG","uniswap","2","0x4c8c4110aa2bc9a75eb95e6cd7426fbd73680336","[{""protocol"":""uniswap"",""version"":2,""pool"":""0x4c8c4110aa2bc9a75eb95e6cd7426fbd73680336""}]","SELL","0xCCc331D2F8e102A606e1FfF194E65ea9BEd767c2","0x0000000000000000000000000000000000000000","20928430761903298088735","0x1111111111111111111111111111111111111111","4663","zero-x-swap","25","0xCCc331D2F8e102A606e1FfF194E65ea9BEd767c2","9900","10000","invalid_response","REJECTED","WRONG_INTEGRATOR_FEE_AMOUNT","YES","NO","52321076904758245221","NOT_REACHED","invalid_response","","{""sellAsset"":""0xccc331d2f8e102a606e1fff194e65ea9bed767c2"",""buyAsset"":""0xeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeee"",""sellAmount"":""20928430761903298088735"",""buyAmount"":""257277773595"",""minBuyAmount"":""254726897322"",""totalNetworkFee"":""88785756045000"",""integratorFee"":{""asset"":""0xccc331d2f8e102a606e1fff194e65ea9bed767c2"",""amount"":""52321076904758245222"",""type"":""volume""},""zeroExFee"":{""asset"":""0xeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeee"",""amount"":""386496415"",""type"":""volume""},""gasFee"":null,""integratorFees"":[{""asset"":""0xccc331d2f8e102a606e1fff194e65ea9bed767c2"",""amount"":""52321076904758245222"",""type"":""volume""}],""integratorFeesOverflow"":false}","1","","","","","","","","","","","","","","POLICY_REJECTED_WRONG_INTEGRATOR_FEE_AMOUNT","matrix","","",""
"2","5272840","0x612e0cBfA113127Ec1cfd2c1ABddCa9a9121E8E6","MONI","uniswap","3","0x2ca89520e03aa5a41e48146cf928fc462a6d5c7e","[{""protocol"":""uniswap"",""version"":3,""pool"":""0x2ca89520e03aa5a41e48146cf928fc462a6d5c7e""},{""protocol"":""uniswap"",""version"":4,""pool"":""0x044b99dbc9c1032eef7497487629f3e57a5757a30723720bb6e2ac7cfc61b264""},{""protocol"":""uniswap"",""version"":4,""pool"":""0x375c815ee0a155bb6c7fac47099bb7a934df6fb5b24ea11beb49d7f1da62f13e""},{""protocol"":""uniswap"",""version"":4,""pool"":""0x8fe6c20dc7847d02bdc638057b154cf560098b5ab3f38200568fff3f2084f58c""},{""protocol"":""uniswap"",""version"":4,""pool"":""0xc2a7585ba7b15acd40b9a8bccbd80772f9db5197ccf9ca1685b22fa1511e2054""}]","BUY","0x0000000000000000000000000000000000000000","0x612e0cBfA113127Ec1cfd2c1ABddCa9a9121E8E6","500000000000000","0x1111111111111111111111111111111111111111","4663","zero-x-swap","25","0x0000000000000000000000000000000000000000","9900","10000","FIRM_RETURNED","ROUTABLE","","NOT_APPLICABLE","NO","1250000000000","NOT_RUN_INSUFFICIENT_BALANCE","indicative","118749089984995776357464","{""sellAsset"":""0xeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeee"",""buyAsset"":""0x612e0cbfa113127ec1cfd2c1abddca9a9121e8e6"",""sellAmount"":""500000000000000"",""buyAmount"":""118749089984995776357464"",""minBuyAmount"":""117573473994144318164135"",""totalNetworkFee"":""120609581715000"",""integratorFee"":{""asset"":""0xeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeee"",""amount"":""1250000000000"",""type"":""volume""},""zeroExFee"":{""asset"":""0xeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeee"",""amount"":""750000000000"",""type"":""volume""},""gasFee"":null,""integratorFees"":[{""asset"":""0xeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeee"",""amount"":""1250000000000"",""type"":""volume""}],""integratorFeesOverflow"":false}","0","118749089984995776357464","117573473994144318164135","117573473994144318164135","true","","0x0000000000001fF3684f28c67538d4D072C22734","500000000000000","0xcbd51571f663248746e3b52a621bada41505343b0da142bb3fc0f08cce87a664","0x39b38686A19836Ac10162c490E4558e120CbBE5f","0xb6c0bf3b83bc9ae4f6ed65a4f5f6c188eb3e4258d8d3b3705dff4ac02ed4a966","0x99f5e8edaceacfdd183eb5f1da8a7757b322495b80cf7928db289a1b1a09f799","insufficient_balance","{""status"":""PASS"",""mode"":""ETH_CALL_EPHEMERAL_FUNDING"",""walletAuthority"":false,""blockNumber"":""57746762"",""blockHash"":""0x4fcedbd5cf881973f31c7754c5b2b669f5e39e94c2cdf43e73458af191e0e771"",""errorCode"":null,""errorSelector"":null,""calldataHash"":""0xcbd51571f663248746e3b52a621bada41505343b0da142bb3fc0f08cce87a664"",""gasLimit"":""444701"",""gasPrice"":""271215000"",""transactionTarget"":""0x0000000000001fF3684f28c67538d4D072C22734"",""transactionValue"":""500000000000000"",""protectedOutput"":""117573473994144318164135"",""exactEnvelopePreserved"":true}","FIRM_VERIFIED","matrix","","",""
"2","5272840","0x612e0cBfA113127Ec1cfd2c1ABddCa9a9121E8E6","MONI","uniswap","3","0x2ca89520e03aa5a41e48146cf928fc462a6d5c7e","[{""protocol"":""uniswap"",""version"":3,""pool"":""0x2ca89520e03aa5a41e48146cf928fc462a6d5c7e""},{""protocol"":""uniswap"",""version"":4,""pool"":""0x044b99dbc9c1032eef7497487629f3e57a5757a30723720bb6e2ac7cfc61b264""},{""protocol"":""uniswap"",""version"":4,""pool"":""0x375c815ee0a155bb6c7fac47099bb7a934df6fb5b24ea11beb49d7f1da62f13e""},{""protocol"":""uniswap"",""version"":4,""pool"":""0x8fe6c20dc7847d02bdc638057b154cf560098b5ab3f38200568fff3f2084f58c""},{""protocol"":""uniswap"",""version"":4,""pool"":""0xc2a7585ba7b15acd40b9a8bccbd80772f9db5197ccf9ca1685b22fa1511e2054""}]","SELL","0x612e0cBfA113127Ec1cfd2c1ABddCa9a9121E8E6","0x0000000000000000000000000000000000000000","118749089984995776357464","0x1111111111111111111111111111111111111111","4663","zero-x-swap","25","0x612e0cBfA113127Ec1cfd2c1ABddCa9a9121E8E6","9900","10000","invalid_response","REJECTED","WRONG_INTEGRATOR_FEE_AMOUNT","YES","NO","296872724962489440893","NOT_REACHED","invalid_response","","{""sellAsset"":""0x612e0cbfa113127ec1cfd2c1abddca9a9121e8e6"",""buyAsset"":""0xeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeee"",""sellAmount"":""118749089984995776357464"",""buyAmount"":""476387683012970"",""minBuyAmount"":""471664359966572"",""totalNetworkFee"":""121019222205000"",""integratorFee"":{""asset"":""0x612e0cbfa113127ec1cfd2c1abddca9a9121e8e6"",""amount"":""296872724962489440894"",""type"":""volume""},""zeroExFee"":{""asset"":""0xeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeee"",""amount"":""715655007030"",""type"":""volume""},""gasFee"":null,""integratorFees"":[{""asset"":""0x612e0cbfa113127ec1cfd2c1abddca9a9121e8e6"",""amount"":""296872724962489440894"",""type"":""volume""}],""integratorFeesOverflow"":false}","1","","","","","","","","","","","","","","POLICY_REJECTED_WRONG_INTEGRATOR_FEE_AMOUNT","matrix","","",""
"3","5272840","0x8Cd80C0e24D20c2081eb0234083C39a1c36eCdcc","VANTRA","uniswap","4","0x55a88af4c7d3b81d788328384eeb553319005184ec554b79ad92ef475b151649","[{""protocol"":""uniswap"",""version"":4,""pool"":""0x55a88af4c7d3b81d788328384eeb553319005184ec554b79ad92ef475b151649""}]","BUY","0x0000000000000000000000000000000000000000","0x8Cd80C0e24D20c2081eb0234083C39a1c36eCdcc","500000000000000","0x1111111111111111111111111111111111111111","4663","zero-x-swap","25","0x0000000000000000000000000000000000000000","9900","10000","FIRM_RETURNED","ROUTABLE","","NOT_APPLICABLE","NO","1250000000000","NOT_RUN_INSUFFICIENT_BALANCE","indicative","348861451573732731143203","{""sellAsset"":""0xeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeee"",""buyAsset"":""0x8cd80c0e24d20c2081eb0234083c39a1c36ecdcc"",""sellAmount"":""500000000000000"",""buyAmount"":""348861451573732731143203"",""minBuyAmount"":""345407723203152777101714"",""totalNetworkFee"":""103550915490750"",""integratorFee"":{""asset"":""0xeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeee"",""amount"":""1250000000000"",""type"":""volume""},""zeroExFee"":{""asset"":""0xeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeee"",""amount"":""750000000000"",""type"":""volume""},""gasFee"":null,""integratorFees"":[{""asset"":""0xeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeee"",""amount"":""1250000000000"",""type"":""volume""}],""integratorFeesOverflow"":false}","0","348861451573732731143203","345407723203152777101714","345407723203152777101714","true","","0x0000000000001fF3684f28c67538d4D072C22734","500000000000000","0x96fe46a929a9ec0e2ae40676fbc80efc3a61db713f31d99e59a7619975d4afb8","0x39b38686A19836Ac10162c490E4558e120CbBE5f","0xb6c0bf3b83bc9ae4f6ed65a4f5f6c188eb3e4258d8d3b3705dff4ac02ed4a966","0x99f5e8edaceacfdd183eb5f1da8a7757b322495b80cf7928db289a1b1a09f799","insufficient_balance","{""status"":""PASS"",""mode"":""ETH_CALL_EPHEMERAL_FUNDING"",""walletAuthority"":false,""blockNumber"":""57746770"",""blockHash"":""0x34934ef9b3c2291680e94cbbf8edbcc7fca478f1d3d836c65a9ca38b68d8c336"",""errorCode"":null,""errorSelector"":null,""calldataHash"":""0x96fe46a929a9ec0e2ae40676fbc80efc3a61db713f31d99e59a7619975d4afb8"",""gasLimit"":""374829"",""gasPrice"":""276261750"",""transactionTarget"":""0x0000000000001fF3684f28c67538d4D072C22734"",""transactionValue"":""500000000000000"",""protectedOutput"":""345407723203152777101714"",""exactEnvelopePreserved"":true}","FIRM_VERIFIED","matrix","","",""
"3","5272840","0x8Cd80C0e24D20c2081eb0234083C39a1c36eCdcc","VANTRA","uniswap","4","0x55a88af4c7d3b81d788328384eeb553319005184ec554b79ad92ef475b151649","[{""protocol"":""uniswap"",""version"":4,""pool"":""0x55a88af4c7d3b81d788328384eeb553319005184ec554b79ad92ef475b151649""}]","SELL","0x8Cd80C0e24D20c2081eb0234083C39a1c36eCdcc","0x0000000000000000000000000000000000000000","348861451573732731143203","0x1111111111111111111111111111111111111111","4663","zero-x-swap","25","0x8Cd80C0e24D20c2081eb0234083C39a1c36eCdcc","9900","10000","no_route","NO_ROUTE","","NOT_APPLICABLE","NO","872153628934331827858","NOT_REACHED","no_route","","{""sellAsset"":null,""buyAsset"":null,""sellAmount"":null,""buyAmount"":null,""minBuyAmount"":null,""totalNetworkFee"":null,""integratorFee"":null,""zeroExFee"":null,""gasFee"":null,""integratorFees"":[],""integratorFeesOverflow"":false}","","","","","","","","","","","","","","","NO_ROUTE","matrix","","",""
"4","5272840","0x2Ac3C85721a27634a1da7113d6894E6AE392291E","ROOT","uniswap","2","0xa0dfb4cb06cf8d6409fdc9b254ed093d47f9275f","[{""protocol"":""uniswap"",""version"":2,""pool"":""0xa0dfb4cb06cf8d6409fdc9b254ed093d47f9275f""},{""protocol"":""uniswap"",""version"":4,""pool"":""0xd30b8486cfb096830a3adaa4472fcb99646f586bd9ad5a4eaac71c214f9250ad""}]","BUY","0x0000000000000000000000000000000000000000","0x2Ac3C85721a27634a1da7113d6894E6AE392291E","500000000000000","0x1111111111111111111111111111111111111111","4663","zero-x-swap","25","0x0000000000000000000000000000000000000000","9900","10000","FIRM_RETURNED","ROUTABLE","","NOT_APPLICABLE","NO","1250000000000","NOT_RUN_INSUFFICIENT_BALANCE","indicative","199196779093734014153886","{""sellAsset"":""0xeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeee"",""buyAsset"":""0x2ac3c85721a27634a1da7113d6894e6ae392291e"",""sellAmount"":""500000000000000"",""buyAmount"":""199196779093734014153886"",""minBuyAmount"":""197224730980706047409915"",""totalNetworkFee"":""190799002856250"",""integratorFee"":{""asset"":""0xeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeee"",""amount"":""1250000000000"",""type"":""volume""},""zeroExFee"":{""asset"":""0xeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeee"",""amount"":""750000000000"",""type"":""volume""},""gasFee"":null,""integratorFees"":[{""asset"":""0xeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeee"",""amount"":""1250000000000"",""type"":""volume""}],""integratorFeesOverflow"":false}","0","199196779093734014153886","197224730980706047409915","197224730980706047409915","true","","0x0000000000001fF3684f28c67538d4D072C22734","500000000000000","0xc4df82730b2bb2a8db294d0ebf9336f99ad96ed07fd620ca2ece70d616ecc202","0x39b38686A19836Ac10162c490E4558e120CbBE5f","0xb6c0bf3b83bc9ae4f6ed65a4f5f6c188eb3e4258d8d3b3705dff4ac02ed4a966","0x99f5e8edaceacfdd183eb5f1da8a7757b322495b80cf7928db289a1b1a09f799","insufficient_balance","{""status"":""PASS"",""mode"":""ETH_CALL_EPHEMERAL_FUNDING"",""walletAuthority"":false,""blockNumber"":""57746788"",""blockHash"":""0xffe493fef7c0058b0096ecf961166660ea196a526ae8dce3007885673b73fbb5"",""errorCode"":null,""errorSelector"":null,""calldataHash"":""0xc4df82730b2bb2a8db294d0ebf9336f99ad96ed07fd620ca2ece70d616ecc202"",""gasLimit"":""692993"",""gasPrice"":""271215000"",""transactionTarget"":""0x0000000000001fF3684f28c67538d4D072C22734"",""transactionValue"":""500000000000000"",""protectedOutput"":""197224730980706047409915"",""exactEnvelopePreserved"":true}","FIRM_VERIFIED","matrix","","",""
"4","5272840","0x2Ac3C85721a27634a1da7113d6894E6AE392291E","ROOT","uniswap","2","0xa0dfb4cb06cf8d6409fdc9b254ed093d47f9275f","[{""protocol"":""uniswap"",""version"":2,""pool"":""0xa0dfb4cb06cf8d6409fdc9b254ed093d47f9275f""},{""protocol"":""uniswap"",""version"":4,""pool"":""0xd30b8486cfb096830a3adaa4472fcb99646f586bd9ad5a4eaac71c214f9250ad""}]","SELL","0x2Ac3C85721a27634a1da7113d6894E6AE392291E","0x0000000000000000000000000000000000000000","199196779093734014153886","0x1111111111111111111111111111111111111111","4663","zero-x-swap","25","0x2Ac3C85721a27634a1da7113d6894E6AE392291E","9900","10000","no_route","NO_ROUTE","","NOT_APPLICABLE","NO","497991947734335035384","NOT_REACHED","no_route","","{""sellAsset"":null,""buyAsset"":null,""sellAmount"":null,""buyAmount"":null,""minBuyAmount"":null,""totalNetworkFee"":null,""integratorFee"":null,""zeroExFee"":null,""gasFee"":null,""integratorFees"":[],""integratorFeesOverflow"":false}","","","","","","","","","","","","","","","NO_ROUTE","matrix","","",""
"5","5272840","0x4f30C9e39a72c432e115f8c9EDFb0F984048C155","のリス","uniswap","3","0x67fff4924a13d5ee7e9389acd4f9e4c439357855","[{""protocol"":""uniswap"",""version"":3,""pool"":""0x67fff4924a13d5ee7e9389acd4f9e4c439357855""}]","BUY","0x0000000000000000000000000000000000000000","0x4f30C9e39a72c432e115f8c9EDFb0F984048C155","500000000000000","0x1111111111111111111111111111111111111111","4663","zero-x-swap","25","0x0000000000000000000000000000000000000000","9900","10000","no_route","NO_ROUTE","","NOT_APPLICABLE","NO","1250000000000","NOT_REACHED","no_route","","{""sellAsset"":null,""buyAsset"":null,""sellAmount"":null,""buyAmount"":null,""minBuyAmount"":null,""totalNetworkFee"":null,""integratorFee"":null,""zeroExFee"":null,""gasFee"":null,""integratorFees"":[],""integratorFeesOverflow"":false}","","","","","","","","","","","","","","","NO_ROUTE","matrix","","",""
"5","5272840","0x4f30C9e39a72c432e115f8c9EDFb0F984048C155","のリス","uniswap","3","0x67fff4924a13d5ee7e9389acd4f9e4c439357855","[{""protocol"":""uniswap"",""version"":3,""pool"":""0x67fff4924a13d5ee7e9389acd4f9e4c439357855""}]","SELL","0x4f30C9e39a72c432e115f8c9EDFb0F984048C155","0x0000000000000000000000000000000000000000","1000000000000000000","0x1111111111111111111111111111111111111111","4663","zero-x-swap","25","0x4f30C9e39a72c432e115f8c9EDFb0F984048C155","9900","10000","no_route","NO_ROUTE","","NOT_APPLICABLE","NO","2500000000000000","NOT_REACHED","no_route","","{""sellAsset"":null,""buyAsset"":null,""sellAmount"":null,""buyAmount"":null,""minBuyAmount"":null,""totalNetworkFee"":null,""integratorFee"":null,""zeroExFee"":null,""gasFee"":null,""integratorFees"":[],""integratorFeesOverflow"":false}","","","","","","","","","","","","","","","NO_ROUTE","matrix","","",""
